Scenario,Condition,Trial,ASR_percent
Replay Attack,Baseline,1,100
Replay Attack,Baseline,2,100
Replay Attack,Baseline,3,100
Replay Attack,Baseline,4,100
Replay Attack,Baseline,5,100
Replay Attack,Baseline,6,100
Replay Attack,Baseline,7,100
Replay Attack,Baseline,8,100
Replay Attack,Baseline,9,100
Replay Attack,Baseline,10,100
Replay Attack,Baseline,11,100
Replay Attack,Baseline,12,100
Replay Attack,Baseline,13,100
Replay Attack,Baseline,14,100
Replay Attack,Baseline,15,100
Replay Attack,Baseline,16,100
Replay Attack,Baseline,17,100
Replay Attack,Baseline,18,100
Replay Attack,Baseline,19,100
Replay Attack,Baseline,20,100
Replay Attack,PostMitigation,1,0
Replay Attack,PostMitigation,2,0
Replay Attack,PostMitigation,3,0
Replay Attack,PostMitigation,4,0
Replay Attack,PostMitigation,5,0
Replay Attack,PostMitigation,6,0
Replay Attack,PostMitigation,7,0
Replay Attack,PostMitigation,8,0
Replay Attack,PostMitigation,9,0
Replay Attack,PostMitigation,10,0
Replay Attack,PostMitigation,11,0
Replay Attack,PostMitigation,12,0
Replay Attack,PostMitigation,13,0
Replay Attack,PostMitigation,14,0
Replay Attack,PostMitigation,15,0
Replay Attack,PostMitigation,16,0
Replay Attack,PostMitigation,17,0
Replay Attack,PostMitigation,18,0
Replay Attack,PostMitigation,19,0
Replay Attack,PostMitigation,20,0
Brute-force Login,Baseline,1,80
Brute-force Login,Baseline,2,80
Brute-force Login,Baseline,3,80
Brute-force Login,Baseline,4,80
Brute-force Login,Baseline,5,80
Brute-force Login,Baseline,6,80
Brute-force Login,Baseline,7,80
Brute-force Login,Baseline,8,80
Brute-force Login,Baseline,9,80
Brute-force Login,Baseline,10,80
Brute-force Login,Baseline,11,80
Brute-force Login,Baseline,12,80
Brute-force Login,Baseline,13,80
Brute-force Login,Baseline,14,80
Brute-force Login,Baseline,15,80
Brute-force Login,Baseline,16,80
Brute-force Login,Baseline,17,100
Brute-force Login,Baseline,18,100
Brute-force Login,Baseline,19,100
Brute-force Login,Baseline,20,100
Brute-force Login,PostMitigation,1,0
Brute-force Login,PostMitigation,2,0
Brute-force Login,PostMitigation,3,0
Brute-force Login,PostMitigation,4,0
Brute-force Login,PostMitigation,5,0
Brute-force Login,PostMitigation,6,0
Brute-force Login,PostMitigation,7,0
Brute-force Login,PostMitigation,8,0
Brute-force Login,PostMitigation,9,0
Brute-force Login,PostMitigation,10,0
Brute-force Login,PostMitigation,11,0
Brute-force Login,PostMitigation,12,0
Brute-force Login,PostMitigation,13,0
Brute-force Login,PostMitigation,14,0
Brute-force Login,PostMitigation,15,0
Brute-force Login,PostMitigation,16,0
Brute-force Login,PostMitigation,17,0
Brute-force Login,PostMitigation,18,0
Brute-force Login,PostMitigation,19,100
Brute-force Login,PostMitigation,20,100
Unauthorized Firmware Upload,Baseline,1,100
Unauthorized Firmware Upload,Baseline,2,100
Unauthorized Firmware Upload,Baseline,3,100
Unauthorized Firmware Upload,Baseline,4,100
Unauthorized Firmware Upload,Baseline,5,100
Unauthorized Firmware Upload,Baseline,6,100
Unauthorized Firmware Upload,Baseline,7,100
Unauthorized Firmware Upload,Baseline,8,100
Unauthorized Firmware Upload,Baseline,9,100
Unauthorized Firmware Upload,Baseline,10,100
Unauthorized Firmware Upload,Baseline,11,100
Unauthorized Firmware Upload,Baseline,12,100
Unauthorized Firmware Upload,Baseline,13,100
Unauthorized Firmware Upload,Baseline,14,100
Unauthorized Firmware Upload,Baseline,15,0
Unauthorized Firmware Upload,Baseline,16,0
Unauthorized Firmware Upload,Baseline,17,0
Unauthorized Firmware Upload,Baseline,18,0
Unauthorized Firmware Upload,Baseline,19,0
Unauthorized Firmware Upload,Baseline,20,0
Unauthorized Firmware Upload,PostMitigation,1,100
Unauthorized Firmware Upload,PostMitigation,2,100
Unauthorized Firmware Upload,PostMitigation,3,0
Unauthorized Firmware Upload,PostMitigation,4,0
Unauthorized Firmware Upload,PostMitigation,5,0
Unauthorized Firmware Upload,PostMitigation,6,0
Unauthorized Firmware Upload,PostMitigation,7,0
Unauthorized Firmware Upload,PostMitigation,8,0
Unauthorized Firmware Upload,PostMitigation,9,0
Unauthorized Firmware Upload,PostMitigation,10,0
Unauthorized Firmware Upload,PostMitigation,11,0
Unauthorized Firmware Upload,PostMitigation,12,0
Unauthorized Firmware Upload,PostMitigation,13,0
Unauthorized Firmware Upload,PostMitigation,14,0
Unauthorized Firmware Upload,PostMitigation,15,0
Unauthorized Firmware Upload,PostMitigation,16,0
Unauthorized Firmware Upload,PostMitigation,17,0
Unauthorized Firmware Upload,PostMitigation,18,0
Unauthorized Firmware Upload,PostMitigation,19,0
Unauthorized Firmware Upload,PostMitigation,20,0
Configuration Dump,Baseline,1,100
Configuration Dump,Baseline,2,100
Configuration Dump,Baseline,3,100
Configuration Dump,Baseline,4,100
Configuration Dump,Baseline,5,100
Configuration Dump,Baseline,6,100
Configuration Dump,Baseline,7,100
Configuration Dump,Baseline,8,100
Configuration Dump,Baseline,9,100
Configuration Dump,Baseline,10,100
Configuration Dump,Baseline,11,100
Configuration Dump,Baseline,12,100
Configuration Dump,Baseline,13,100
Configuration Dump,Baseline,14,100
Configuration Dump,Baseline,15,100
Configuration Dump,Baseline,16,100
Configuration Dump,Baseline,17,100
Configuration Dump,Baseline,18,100
Configuration Dump,Baseline,19,0
Configuration Dump,Baseline,20,0
Configuration Dump,PostMitigation,1,0
Configuration Dump,PostMitigation,2,0
Configuration Dump,PostMitigation,3,0
Configuration Dump,PostMitigation,4,0
Configuration Dump,PostMitigation,5,0
Configuration Dump,PostMitigation,6,0
Configuration Dump,PostMitigation,7,0
Configuration Dump,PostMitigation,8,0
Configuration Dump,PostMitigation,9,0
Configuration Dump,PostMitigation,10,0
Configuration Dump,PostMitigation,11,0
Configuration Dump,PostMitigation,12,0
Configuration Dump,PostMitigation,13,0
Configuration Dump,PostMitigation,14,0
Configuration Dump,PostMitigation,15,0
Configuration Dump,PostMitigation,16,0
Configuration Dump,PostMitigation,17,0
Configuration Dump,PostMitigation,18,0
Configuration Dump,PostMitigation,19,0
Configuration Dump,PostMitigation,20,0
