Scenario,Condition,Trial,MTTR_s
Replay Attack,Baseline,1,62
Replay Attack,Baseline,2,67
Replay Attack,Baseline,3,63
Replay Attack,Baseline,4,64
Replay Attack,Baseline,5,66
Replay Attack,Baseline,6,68
Replay Attack,Baseline,7,65
Replay Attack,Baseline,8,64
Replay Attack,Baseline,9,67
Replay Attack,Baseline,10,63
Replay Attack,Baseline,11,62
Replay Attack,Baseline,12,69
Replay Attack,Baseline,13,66
Replay Attack,Baseline,14,65
Replay Attack,Baseline,15,64
Replay Attack,Baseline,16,68
Replay Attack,Baseline,17,67
Replay Attack,Baseline,18,63
Replay Attack,Baseline,19,66
Replay Attack,Baseline,20,65
Replay Attack,PostMitigation,1,0
Replay Attack,PostMitigation,2,0
Replay Attack,PostMitigation,3,0
Replay Attack,PostMitigation,4,0
Replay Attack,PostMitigation,5,0
Replay Attack,PostMitigation,6,0
Replay Attack,PostMitigation,7,0
Replay Attack,PostMitigation,8,0
Replay Attack,PostMitigation,9,0
Replay Attack,PostMitigation,10,0
Replay Attack,PostMitigation,11,0
Replay Attack,PostMitigation,12,0
Replay Attack,PostMitigation,13,0
Replay Attack,PostMitigation,14,0
Replay Attack,PostMitigation,15,0
Replay Attack,PostMitigation,16,0
Replay Attack,PostMitigation,17,0
Replay Attack,PostMitigation,18,0
Replay Attack,PostMitigation,19,0
Replay Attack,PostMitigation,20,0
Brute-force Login,Baseline,1,88
Brute-force Login,Baseline,2,92
Brute-force Login,Baseline,3,95
Brute-force Login,Baseline,4,90
Brute-force Login,Baseline,5,89
Brute-force Login,Baseline,6,91
Brute-force Login,Baseline,7,93
Brute-force Login,Baseline,8,87
Brute-force Login,Baseline,9,94
Brute-force Login,Baseline,10,90
Brute-force Login,Baseline,11,88
Brute-force Login,Baseline,12,96
Brute-force Login,Baseline,13,89
Brute-force Login,Baseline,14,92
Brute-force Login,Baseline,15,91
Brute-force Login,Baseline,16,90
Brute-force Login,Baseline,17,94
Brute-force Login,Baseline,18,88
Brute-force Login,Baseline,19,93
Brute-force Login,Baseline,20,89
Brute-force Login,PostMitigation,1,34
Brute-force Login,PostMitigation,2,36
Brute-force Login,PostMitigation,3,35
Brute-force Login,PostMitigation,4,33
Brute-force Login,PostMitigation,5,37
Brute-force Login,PostMitigation,6,35
Brute-force Login,PostMitigation,7,36
Brute-force Login,PostMitigation,8,34
Brute-force Login,PostMitigation,9,35
Brute-force Login,PostMitigation,10,35
Brute-force Login,PostMitigation,11,34
Brute-force Login,PostMitigation,12,36
Brute-force Login,PostMitigation,13,37
Brute-force Login,PostMitigation,14,34
Brute-force Login,PostMitigation,15,35
Brute-force Login,PostMitigation,16,35
Brute-force Login,PostMitigation,17,36
Brute-force Login,PostMitigation,18,34
Brute-force Login,PostMitigation,19,35
Brute-force Login,PostMitigation,20,36
Firmware Upload,Baseline,1,109
Firmware Upload,Baseline,2,112
Firmware Upload,Baseline,3,110
Firmware Upload,Baseline,4,108
Firmware Upload,Baseline,5,111
Firmware Upload,Baseline,6,113
Firmware Upload,Baseline,7,109
Firmware Upload,Baseline,8,110
Firmware Upload,Baseline,9,112
Firmware Upload,Baseline,10,108
Firmware Upload,Baseline,11,111
Firmware Upload,Baseline,12,114
Firmware Upload,Baseline,13,110
Firmware Upload,Baseline,14,109
Firmware Upload,Baseline,15,113
Firmware Upload,Baseline,16,112
Firmware Upload,Baseline,17,108
Firmware Upload,Baseline,18,111
Firmware Upload,Baseline,19,110
Firmware Upload,Baseline,20,109
Firmware Upload,PostMitigation,1,39
Firmware Upload,PostMitigation,2,41
